frame.time_epoch,ip.src,ip.dst,ip.len,tcp.len,tcp.flags.ack
"1628693442.664784000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664787000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664866000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664882000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664891000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664902000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664907000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664917000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664923000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664933000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665009000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665025000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665034000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665044000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665050000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665061000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665131000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665147000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665156000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665167000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665173000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665184000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665189000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665199000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665205000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665324000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665581000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665584000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665726000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665743000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665751000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665762000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665768000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665778000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665784000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665794000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665799000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665809000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665815000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665825000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665830000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665840000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665846000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665856000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665862000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665872000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665878000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665888000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665894000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.665904000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.665909000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666186000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666260000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666276000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666285000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666295000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666301000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666311000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666387000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666403000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666412000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666423000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666429000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666439000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666444000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666454000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666459000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666469000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666475000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666485000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666605000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666623000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666632000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666643000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666665000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666691000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666697000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666708000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666784000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666801000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666810000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666820000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666826000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666836000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666912000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666928000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666937000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666947000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666953000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.666963000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.666968000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667244000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667318000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667335000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667343000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667354000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667359000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667370000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667375000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667386000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667463000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667479000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667487000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667498000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667503000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667528000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667608000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667624000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667635000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667646000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667652000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667663000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667739000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667755000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667763000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667774000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667780000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667790000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667866000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667882000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667891000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667901000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667907000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667917000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667922000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.667932000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.667938000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668211000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668285000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668301000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668309000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668320000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668326000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668336000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668341000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668351000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668428000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668444000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668453000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668464000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668471000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668482000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668638000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668654000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668662000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668673000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668679000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668689000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668765000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668781000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668789000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668800000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668806000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668816000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668891000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668907000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668916000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668927000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668932000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668943000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668948000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668959000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668965000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668975000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.668980000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.668990000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.669066000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.669082000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.669090000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.669101000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.669107000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.669380000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.669456000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.669682000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.669720000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.669736000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.669743000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.669754000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.669759000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.669770000","10.0.3.10","10.0.0.10","40","0","1"
