frame.time_epoch,ip.src,ip.dst,ip.len,tcp.len,tcp.flags.ack
"1552411970.293218000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.293297000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.294414000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.295640000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.295726000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.296850000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.298063000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.298145000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.299267000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.300479000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.300570000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.301690000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.302901000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.302992000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.304115000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.305330000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.305410000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.306557000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.307753000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.307829000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.308960000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.310178000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.310274000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.311388000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.312593000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.312682000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.313812000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.315018000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.315101000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.316221000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.317438000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.317523000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.318634000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.319865000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.319935000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.321072000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.322286000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.322358000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.323488000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.324699000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.324759000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.325910000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.327122000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.327212000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.328344000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.329565000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.329638000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.330760000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.331975000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.332064000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.333184000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.334392000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.334463000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.335607000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.336816000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.336905000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.338032000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.339243000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.339321000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.340458000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.341668000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.341743000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.342877000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.344081000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.344145000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.345292000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.346506000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.346612000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.347719000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.348936000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.349017000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.350141000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.351348000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.351442000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.352560000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.353781000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.353869000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.354990000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.356204000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.356274000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.357402000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.358613000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.358673000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.359819000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.361035000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.361129000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.362246000","10.1.0.0","10.2.0.0","1500","1448","1"
